threshold,f1_macro,f1_toxic,precision_toxic,recall_toxic,precision_safe,recall_safe
0.03,0.43334435017144896,0.3893456099967116,0.24232501023331968,0.9899665551839465,0.9929742388758782,0.3141904409040385
0.035,0.4721379823475128,0.4084166954122111,0.2572794437201217,0.9899665551839465,0.9939759036144579,0.36680251945164877
0.04,0.5067321691768034,0.4262413918086263,0.2720962517353077,0.9832775919732442,0.9911971830985915,0.41719155242682476
0.045,0.5337845813900386,0.4415879017013232,0.285295554469956,0.9765886287625418,0.9888,0.4579473879214524
0.05,0.5621089930718415,0.46050552922590837,0.3014477766287487,0.9749163879598662,0.9889948642699926,0.49944423860689147
0.055,0.5861855291090001,0.4773662551440329,0.3165938864628821,0.9698996655518395,0.9877133105802047,0.5361244905520564
0.06,0.6053473203547957,0.4910333048676345,0.3297018348623853,0.9615384615384616,0.9851899549259497,0.5668766209707299
0.065,0.6214613926353244,0.5030891438658429,0.34172661870503596,0.9531772575250836,0.9828115408225906,0.593182660244535
0.07,0.6372721271769827,0.516802906448683,0.35473815461346636,0.9515050167224081,0.9828706438275251,0.6165246387550944
0.075,0.6508068636259535,0.5284780578898226,0.36658031088082904,0.9464882943143813,0.9817455790074159,0.6376435716932197
0.08,0.6679956648262091,0.5448408871745419,0.38279132791327913,0.9448160535117057,0.9818780889621087,0.662467580585402
0.085,0.6829522063664779,0.5599603567888999,0.397887323943662,0.9448160535117057,0.9824187533297816,0.6832160059281215
0.09,0.6914325449583654,0.5685483870967742,0.4069264069264069,0.9431438127090301,0.9822082679225537,0.6954427565765098
0.095,0.7007433100764828,0.5777548918640577,0.4174107142857143,0.9381270903010034,0.9810547875064004,0.7098925527973323
0.1,0.7087803084115445,0.5858267716535434,0.4269319051262433,0.9331103678929766,0.9798994974874372,0.7224898110411263
0.105,0.7160696153205036,0.5932656333511491,0.43597800471327575,0.9280936454849499,0.9787549407114624,0.7339755464987032
0.11,0.7240991567741581,0.6021739130434782,0.44605475040257647,0.9264214046822743,0.9785888077858881,0.7450907743608745
0.115,0.727176735146219,0.6046255506607929,0.45073891625615764,0.9180602006688964,0.9764309764309764,0.7521304186735828
0.12,0.7346163915573349,0.6122678671918964,0.46140797285835455,0.9096989966555183,0.9745042492917847,0.7647276769173768
0.125,0.7431154147278511,0.6224256292906178,0.47304347826086957,0.9096989966555183,0.9748486259897532,0.7754723971841423
0.13,0.7477021506668269,0.627177700348432,0.4804270462633452,0.903010033444816,0.9733087896916705,0.7836235642830678
0.135,0.751544479071165,0.6308962264150944,0.4872495446265938,0.8946488294314381,0.9713506139154161,0.7914042237865876
0.14,0.7589368386796556,0.639904134212103,0.49859943977591037,0.8929765886287625,0.9712488769092543,0.801037421267136
0.145,0.7650864175426355,0.6476652516676774,0.5080875356803045,0.8929765886287625,0.9715048975957258,0.8084475731752501
0.15,0.7681723918688462,0.6506765067650676,0.5145914396887159,0.8846153846153846,0.9695901278096077,0.8151167098925528
0.155,0.7721807628524047,0.6554726368159204,0.5217821782178218,0.8812709030100334,0.9689549628334062,0.821044831419044
0.16,0.7767420000545242,0.6612193588937775,0.5297079556898288,0.8795986622073578,0.96875,0.8269729529455354
0.165,0.781162883313421,0.6666666666666666,0.5379876796714579,0.8762541806020067,0.9681446405510116,0.8332715820674323
0.17,0.7842780438134107,0.6701030927835051,0.5450733752620545,0.8695652173913043,0.9667093469910372,0.8391997035939237
0.175,0.784417939402926,0.6692708333333334,0.5479744136460555,0.8595317725752508,0.9643916913946587,0.8429047795479807
0.18,0.7865846405302944,0.6714944042132982,0.5537459283387622,0.8528428093645485,0.9629629629629629,0.8477213782882549
0.185,0.7894967257239738,0.6750830564784053,0.5600882028665931,0.8494983277591973,0.9623430962343096,0.8521674694331234
0.19,0.7912354719749286,0.6769436997319035,0.5648769574944071,0.8444816053511706,0.9612983770287141,0.8558725453871804
0.195,0.7925872704215932,0.6779661016949152,0.5701254275940707,0.8361204013377926,0.959504132231405,0.8603186365320489
0.2,0.796645588919589,0.683526999316473,0.5780346820809249,0.8361204013377926,0.959703947368421,0.8647647276769174
0.205,0.7998942048422999,0.6870653685674548,0.5880952380952381,0.8260869565217391,0.9576719576719577,0.8718043719896258
0.21,0.801073433059379,0.6885474860335196,0.5911270983213429,0.8244147157190636,0.9573690621193667,0.8736569099666543
0.215,0.8032464581021663,0.691114245416079,0.5975609756097561,0.8193979933110368,0.9563988696003229,0.877732493516117
0.22,0.8043875475140204,0.6922530206112296,0.6019777503090235,0.81438127090301,0.9553858520900321,0.8806965542793628
0.225,0.8049209517858427,0.6920863309352518,0.6073232323232324,0.8043478260869565,0.9532934131736527,0.8847721378288255
0.23,0.8082618959637422,0.6966618287373004,0.6153846153846154,0.802675585284281,0.9531187922129519,0.8888477213782883
0.235,0.8086611193038135,0.6964809384164223,0.6201044386422977,0.794314381270903,0.9514026076649545,0.8921822897369396
0.24,0.8109722074506487,0.6996309963099631,0.6261558784676354,0.7926421404682275,0.9511811023622048,0.8951463505001852
0.245,0.8105571801138256,0.698741672834937,0.6268260292164675,0.7892976588628763,0.9504716981132075,0.8958873656909967
